---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/378/1548288       56744 ns        56744 ns        12170
SoAScan/379/1552384       57022 ns        57021 ns        12178
SoAScan/380/1556480       57012 ns        57011 ns        12187
SoAScan/381/1560576       57151 ns        57151 ns        12111
SoAScan/382/1564672       57063 ns        57064 ns        12197
SoAScan/383/1568768       56852 ns        56851 ns        12154
SoAScan/384/1572864      125308 ns       125300 ns         5576
SoAScan/385/1576960       57065 ns        57065 ns        12161
SoAScan/386/1581056       57365 ns        57365 ns        12154
SoAScan/387/1585152       57262 ns        57263 ns        12179
SoAScan/388/1589248       57078 ns        57078 ns        12196
SoAScan/389/1593344       57156 ns        57154 ns        12174
SoAScan/390/1597440       57078 ns        57078 ns        12116
SoAScan/391/1601536       57238 ns        57238 ns        12161
SoAScan/392/1605632       57141 ns        57141 ns        12191
SoAScan/393/1609728       57083 ns        57082 ns        12182
SoAScan/394/1613824       57108 ns        57106 ns        12203
SoAScan/395/1617920       56911 ns        56911 ns        12217
SoAScan/396/1622016       57070 ns        57070 ns        12209
SoAScan/397/1626112       56888 ns        56889 ns        12182
SoAScan/398/1630208       57136 ns        57136 ns        12106
SoAScan/399/1634304       57358 ns        57357 ns        12176
SoAScan/400/1638400       57103 ns        57102 ns        12181
SoAScan/401/1642496       57101 ns        57101 ns        12119
SoAScan/402/1646592       57270 ns        57270 ns        12175
SoAScan/403/1650688       57357 ns        57357 ns        12235
SoAScan/404/1654784       57207 ns        57206 ns        12116
SoAScan/405/1658880       57274 ns        57273 ns        12110
SoAScan/406/1662976       57245 ns        57245 ns        12142
SoAScan/407/1667072       57159 ns        57159 ns        12179
SoAScan/408/1671168       57005 ns        57005 ns        12146
SoAScan/409/1675264       57303 ns        57303 ns        12216
SoAScan/410/1679360       57218 ns        57216 ns        12199
SoAScan/411/1683456       57218 ns        57218 ns        12105
SoAScan/412/1687552       57115 ns        57115 ns        12148
SoAScan/413/1691648       57295 ns        57293 ns        12098
SoAScan/414/1695744       57345 ns        57345 ns        12192
SoAScan/415/1699840       57241 ns        57240 ns        12155
SoAScan/416/1703936       58055 ns        58055 ns        11867
SoAScan/417/1708032       57410 ns        57410 ns        12150
SoAScan/418/1712128       57155 ns        57155 ns        12285
SoAScan/419/1716224       57201 ns        57201 ns        12234
SoAScan/420/1720320       56874 ns        56874 ns        12226
SoAScan/421/1724416       57071 ns        57071 ns        12207
SoAScan/422/1728512       56929 ns        56929 ns        12190
SoAScan/423/1732608       57122 ns        57122 ns        12208
SoAScan/424/1736704       56908 ns        56908 ns        12158
SoAScan/425/1740800       56972 ns        56972 ns        12154
SoAScan/426/1744896       56751 ns        56751 ns        12190
SoAScan/427/1748992       57014 ns        57014 ns        12213
SoAScan/428/1753088       56745 ns        56745 ns        12286
SoAScan/429/1757184       56511 ns        56511 ns        12298
SoAScan/430/1761280       56756 ns        56755 ns        12283
SoAScan/431/1765376       56897 ns        56897 ns        12192
SoAScan/432/1769472       56368 ns        56368 ns        12310
SoAScan/433/1773568       57103 ns        57099 ns        12308
SoAScan/434/1777664       56558 ns        56558 ns        12307
SoAScan/435/1781760       56678 ns        56678 ns        12230
SoAScan/436/1785856       56913 ns        56913 ns        12206
SoAScan/437/1789952       56615 ns        56615 ns        12295
SoAScan/438/1794048       56732 ns        56732 ns        12283
SoAScan/439/1798144       56657 ns        56657 ns        12306
SoAScan/440/1802240       56543 ns        56542 ns        12253
SoAScan/441/1806336       56912 ns        56912 ns        12285
SoAScan/442/1810432       56913 ns        56914 ns        12307
SoAScan/443/1814528       56772 ns        56772 ns        12274
SoAScan/444/1818624       56730 ns        56730 ns        12296
