---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/424/1736704       52262 ns        52264 ns        13316
SoAScan/425/1740800       52004 ns        52005 ns        13287
SoAScan/426/1744896       52271 ns        52269 ns        13341
SoAScan/427/1748992       51899 ns        51899 ns        13360
SoAScan/428/1753088       52066 ns        52067 ns        13302
SoAScan/429/1757184       52062 ns        52062 ns        13368
SoAScan/430/1761280       52179 ns        52179 ns        13352
SoAScan/431/1765376       51949 ns        51949 ns        13364
SoAScan/432/1769472       51940 ns        51938 ns        13394
SoAScan/433/1773568       51820 ns        51820 ns        13395
SoAScan/434/1777664       51880 ns        51880 ns        13358
SoAScan/435/1781760       51914 ns        51915 ns        13313
SoAScan/436/1785856       52009 ns        52009 ns        13324
SoAScan/437/1789952       51911 ns        51910 ns        13416
SoAScan/438/1794048       52015 ns        52015 ns        13366
SoAScan/439/1798144       51851 ns        51851 ns        13403
SoAScan/440/1802240       51845 ns        51846 ns        13400
SoAScan/441/1806336       51962 ns        51962 ns        13354
SoAScan/442/1810432       52067 ns        52067 ns        13329
SoAScan/443/1814528       51966 ns        51966 ns        13348
SoAScan/444/1818624       52037 ns        52036 ns        13382
SoAScan/445/1822720       51945 ns        51945 ns        13348
SoAScan/446/1826816       52118 ns        52113 ns        13363
SoAScan/447/1830912       52187 ns        52187 ns        13183
SoAScan/448/1835008       58616 ns        58613 ns        12339
SoAScan/449/1839104       52340 ns        52339 ns        13212
SoAScan/450/1843200       52230 ns        52228 ns        13249
SoAScan/451/1847296       52454 ns        52445 ns        13225
SoAScan/452/1851392       52374 ns        52375 ns        13311
SoAScan/453/1855488       52292 ns        52293 ns        13251
SoAScan/454/1859584       52450 ns        52451 ns        13278
SoAScan/455/1863680       52184 ns        52185 ns        13317
SoAScan/456/1867776       52023 ns        52023 ns        13357
SoAScan/457/1871872       52314 ns        52313 ns        13272
SoAScan/458/1875968       52337 ns        52335 ns        13275
SoAScan/459/1880064       52088 ns        52089 ns        13279
SoAScan/460/1884160       52468 ns        52467 ns        13244
SoAScan/461/1888256       52056 ns        52056 ns        13211
SoAScan/462/1892352       52128 ns        52128 ns        13317
SoAScan/463/1896448       52010 ns        52009 ns        13257
SoAScan/464/1900544       52172 ns        52173 ns        13338
SoAScan/465/1904640       52311 ns        52311 ns        13300
SoAScan/466/1908736       52140 ns        52140 ns        13317
SoAScan/467/1912832       52202 ns        52202 ns        13311
SoAScan/468/1916928       52353 ns        52353 ns        13354
SoAScan/469/1921024       52250 ns        52250 ns        13331
SoAScan/470/1925120       52320 ns        52321 ns        13268
SoAScan/471/1929216       52501 ns        52502 ns        13329
SoAScan/472/1933312       52008 ns        52008 ns        13315
SoAScan/473/1937408       52316 ns        52314 ns        13306
SoAScan/474/1941504       52215 ns        52214 ns        13279
SoAScan/475/1945600       52178 ns        52178 ns        13349
SoAScan/476/1949696       52191 ns        52191 ns        13224
SoAScan/477/1953792       52104 ns        52104 ns        13289
SoAScan/478/1957888       52217 ns        52218 ns        13312
SoAScan/479/1961984       52386 ns        52385 ns        13257
SoAScan/480/1966080       52764 ns        52765 ns        13209
SoAScan/481/1970176       52258 ns        52258 ns        13290
SoAScan/482/1974272       52392 ns        52391 ns        13307
SoAScan/483/1978368       52151 ns        52152 ns        13264
SoAScan/484/1982464       52382 ns        52383 ns        13217
SoAScan/485/1986560       51823 ns        51823 ns        13417
SoAScan/486/1990656       51602 ns        51601 ns        13441
SoAScan/487/1994752       51533 ns        51533 ns        13473
SoAScan/488/1998848       51479 ns        51479 ns        13511
SoAScan/489/2002944       51607 ns        51606 ns        13520
SoAScan/490/2007040       51330 ns        51331 ns        13457
SoAScan/491/2011136       51268 ns        51268 ns        13548
SoAScan/492/2015232       51295 ns        51295 ns        13594
SoAScan/493/2019328       51256 ns        51256 ns        13525
SoAScan/494/2023424       50989 ns        50989 ns        13585
SoAScan/495/2027520       51169 ns        51170 ns        13534
SoAScan/496/2031616       51240 ns        51240 ns        13578
SoAScan/497/2035712       51117 ns        51117 ns        13463
SoAScan/498/2039808       51192 ns        51192 ns        13569
